date,category,value,units,notes
04/01/21,Number of Active cases,243953,value in absolute number,
04/01/21,Total Recovered,9946867,value in absolute number,
04/01/21,Total Deaths,149649,value in absolute number,
03/01/21,Total Positive Cases,10323965,value in absolute number,
03/01/21,Number of Active cases,247220,value in absolute number,
03/01/21,Total Recovered,9927310,value in absolute number,
03/01/21,Total Deaths,149435,value in absolute number,
02/01/21,Total Positive Cases,10305788,value in absolute number,
02/01/21,Number of Active cases,250183,value in absolute number,
02/01/21,Total Recovered,9906387,value in absolute number,
02/01/21,Total Deaths,149218,value in absolute number,
01/01/21,Total Positive Cases,10286709,value in absolute number,
01/01/21,Number of Active cases,254254,value in absolute number,
01/01/21,Total Recovered,9883461,value in absolute number,
01/01/21,Total Deaths,148994,value in absolute number,
31/12/20,Total Positive Cases,10266674,value in absolute number,
31/12/20,Number of Active cases,257656,value in absolute number,
31/12/20,Total Recovered,9860280,value in absolute number,
31/12/20,Total Deaths,148738,value in absolute number,
30/12/20,Total Positive Cases,10244852,value in absolute number,
30/12/20,Number of Active cases,262272,value in absolute number,
30/12/20,Total Recovered,9834141,value in absolute number,
30/12/20,Total Deaths,148439,value in absolute number,
29/12/20,Total Positive Cases,10224303,value in absolute number,
29/12/20,Number of Active cases,268581,value in absolute number,
29/12/20,Total Recovered,9807569,value in absolute number,
29/12/20,Total Deaths,148153,value in absolute number,
28/12/20,Total Positive Cases,10207871,value in absolute number,
28/12/20,Number of Active cases,277301,value in absolute number,
28/12/20,Total Recovered,9782669,value in absolute number,
28/12/20,Total Deaths,147901,value in absolute number,
27/12/20,Total Positive Cases,10187850,value in absolute number,
27/12/20,Number of Active cases,278690,value in absolute number,
27/12/20,Total Recovered,9761538,value in absolute number,
27/12/20,Total Deaths,147622,value in absolute number,
26/12/20,Total Positive Cases,10169118,value in absolute number,
26/12/20,Number of Active cases,281667,value in absolute number,
26/12/20,Total Recovered,9740108,value in absolute number,
26/12/20,Total Deaths,147343,value in absolute number,
25/12/20,Total Positive Cases,10146845,value in absolute number,
25/12/20,Number of Active cases,281919,value in absolute number,
25/12/20,Total Recovered,9717834,value in absolute number,
25/12/20,Total Deaths,147092,value in absolute number,
24/12/20,Total Positive Cases,10123778,value in absolute number,
24/12/20,Number of Active cases,283849,value in absolute number,
24/12/20,Total Recovered,9693173,value in absolute number,
24/12/20,Total Deaths,146756,value in absolute number,
23/12/20,Total Positive Cases,10099066,value in absolute number,
23/12/20,Number of Active cases,289240,value in absolute number,
23/12/20,Total Recovered,9663382,value in absolute number,
23/12/20,Total Deaths,146444,value in absolute number,
22/12/20,Total Positive Cases,10075116,value in absolute number,
22/12/20,Number of Active cases,292518,value in absolute number,
22/12/20,Total Recovered,9636487,value in absolute number,
22/12/20,Total Deaths,146111,value in absolute number,
21/12/20,Total Positive Cases,10055560,value in absolute number,
21/12/20,Number of Active cases,303639,value in absolute number,
21/12/20,Total Recovered,9606111,value in absolute number,
21/12/20,Total Deaths,145810,value in absolute number,
20/12/20,Total Positive Cases,10031223,value in absolute number,
20/12/20,Number of Active cases,305344,value in absolute number,
20/12/20,Total Recovered,9580402,value in absolute number,
20/12/20,Total Deaths,145477,value in absolute number,
19/12/20,Total Positive Cases,10004599,value in absolute number,
19/12/20,Number of Active cases,308751,value in absolute number,
19/12/20,Total Recovered,9550712,value in absolute number,
19/12/20,Total Deaths,145136,value in absolute number,
18/12/20,Total Positive Cases,9979447,value in absolute number,
18/12/20,Number of Active cases,313831,value in absolute number,
18/12/20,Total Recovered,9520827,value in absolute number,
18/12/20,Total Deaths,144789,value in absolute number,
17/12/20,Total Positive Cases,9956557,value in absolute number,
17/12/20,Number of Active cases,322366,value in absolute number,
17/12/20,Total Recovered,9489740,value in absolute number,
17/12/20,Total Deaths,144451,value in absolute number,
16/12/20,Total Positive Cases,9932547,value in absolute number,
16/12/20,Number of Active cases,332002,value in absolute number,
16/12/20,Total Recovered,9456449,value in absolute number,
16/12/20,Total Deaths,144096,value in absolute number,
15/12/20,Total Positive Cases,9906165,value in absolute number,
15/12/20,Number of Active cases,339820,value in absolute number,
15/12/20,Total Recovered,9422636,value in absolute number,
15/12/20,Total Deaths,143709,value in absolute number,
14/12/20,Total Positive Cases,9884100,value in absolute number,
14/12/20,Number of Active cases,352586,value in absolute number,
14/12/20,Total Recovered,9388159,value in absolute number,
14/12/20,Total Deaths,143355,value in absolute number,
13/12/20,Total Positive Cases,9857029,value in absolute number,
13/12/20,Number of Active cases,356546,value in absolute number,
13/12/20,Total Recovered,9357464,value in absolute number,
13/12/20,Total Deaths,143019,value in absolute number,
12/12/20,Total Positive Cases,9826775,value in absolute number,
12/12/20,Number of Active cases,359819,value in absolute number,
12/12/20,Total Recovered,9324328,value in absolute number,
12/12/20,Total Deaths,142628,value in absolute number,
11/12/20,Total Positive Cases,9796769,value in absolute number,
11/12/20,Number of Active cases,363749,value in absolute number,
11/12/20,Total Recovered,9290834,value in absolute number,
11/12/20,Total Deaths,142186,value in absolute number,
10/12/20,Total Positive Cases,9767371,value in absolute number,
10/12/20,Number of Active cases,372293,value in absolute number,
10/12/20,Total Recovered,9253306,value in absolute number,
10/12/20,Total Deaths,141772,value in absolute number,
09/12/20,Total Positive Cases,9735850,value in absolute number,
09/12/20,Number of Active cases,378909,value in absolute number,
09/12/20,Total Recovered,9215581,value in absolute number,
09/12/20,Total Deaths,141360,value in absolute number,
08/12/20,Total Positive Cases,9703770,value in absolute number,
08/12/20,Number of Active cases,383866,value in absolute number,
08/12/20,Total Recovered,9178946,value in absolute number,
08/12/20,Total Deaths,140958,value in absolute number,
07/12/20,Total Positive Cases,9677203,value in absolute number,
07/12/20,Number of Active cases,396729,value in absolute number,
07/12/20,Total Recovered,9139901,value in absolute number,
07/12/20,Total Deaths,140573,value in absolute number,
06/12/20,Total Positive Cases,9644222,value in absolute number,
06/12/20,Number of Active cases,403248,value in absolute number,
06/12/20,Total Recovered,9100792,value in absolute number,
06/12/20,Total Deaths,140182,value in absolute number,
05/12/20,Total Positive Cases,9608211,value in absolute number,
05/12/20,Number of Active cases,409689,value in absolute number,
05/12/20,Total Recovered,9058822,value in absolute number,
05/12/20,Total Deaths,139700,value in absolute number,
04/12/20,Total Positive Cases,9571559,value in absolute number,
04/12/20,Number of Active cases,416082,value in absolute number,
04/12/20,Total Recovered,9016289,value in absolute number,
04/12/20,Total Deaths,139188,value in absolute number,
03/12/20,Total Positive Cases,9534964,value in absolute number,
03/12/20,Number of Active cases,422943,value in absolute number,
03/12/20,Total Recovered,8973373,value in absolute number,
03/12/20,Total Deaths,138648,value in absolute number,
02/12/20,Total Positive Cases,9499413,value in absolute number,
02/12/20,Number of Active cases,428644,value in absolute number,
02/12/20,Total Recovered,8932647,value in absolute number,
02/12/20,Total Deaths,138122,value in absolute number,
01/12/20,Total Positive Cases,9462809,value in absolute number,
01/12/20,Number of Active cases,435603,value in absolute number,
01/12/20,Total Recovered,8889585,value in absolute number,
01/12/20,Total Deaths,137621,value in absolute number,
30/11/20,Total Positive Cases,9431691,value in absolute number,
30/11/20,Number of Active cases,446952,value in absolute number,
30/11/20,Total Recovered,8847600,value in absolute number,
30/11/20,Total Deaths,137139,value in absolute number,
29/11/20,Total Positive Cases,9392919,value in absolute number,
29/11/20,Number of Active cases,453956,value in absolute number,
29/11/20,Total Recovered,8802267,value in absolute number,
29/11/20,Total Deaths,136696,value in absolute number,
28/11/20,Total Positive Cases,9351109,value in absolute number,
28/11/20,Number of Active cases,454940,value in absolute number,
28/11/20,Total Recovered,8759969,value in absolute number,
28/11/20,Total Deaths,136200,value in absolute number,
27/11/20,Total Positive Cases,9309787,value in absolute number,
27/11/20,Number of Active cases,455555,value in absolute number,
27/11/20,Total Recovered,8718517,value in absolute number,
27/11/20,Total Deaths,135715,value in absolute number,
26/11/20,Total Positive Cases,9266705,value in absolute number,
26/11/20,Number of Active cases,452344,value in absolute number,
26/11/20,Total Recovered,8679138,value in absolute number,
26/11/20,Total Deaths,135223,value in absolute number,
25/11/20,Total Positive Cases,9222216,value in absolute number,
25/11/20,Number of Active cases,444746,value in absolute number,
25/11/20,Total Recovered,8642771,value in absolute number,
25/11/20,Total Deaths,134699,value in absolute number,
24/11/20,Total Positive Cases,9177840,value in absolute number,
24/11/20,Number of Active cases,438667,value in absolute number,
24/11/20,Total Recovered,8604955,value in absolute number,
24/11/20,Total Deaths,134218,value in absolute number,
23/11/20,Total Positive Cases,9139865,value in absolute number,
23/11/20,Number of Active cases,443486,value in absolute number,
23/11/20,Total Recovered,8562641,value in absolute number,
23/11/20,Total Deaths,133738,value in absolute number,
22/11/20,Total Positive Cases,9095806,value in absolute number,
22/11/20,Number of Active cases,440962,value in absolute number,
22/11/20,Total Recovered,8521617,value in absolute number,
22/11/20,Total Deaths,133227,value in absolute number,
21/11/20,Total Positive Cases,9050597,value in absolute number,
21/11/20,Number of Active cases,439747,value in absolute number,
21/11/20,Total Recovered,8478124,value in absolute number,
21/11/20,Total Deaths,132726,value in absolute number,
20/11/20,Total Positive Cases,9004365,value in absolute number,
20/11/20,Number of Active cases,443794,value in absolute number,
20/11/20,Total Recovered,8428409,value in absolute number,
20/11/20,Total Deaths,132162,value in absolute number,
19/11/20,Total Positive Cases,8958483,value in absolute number,
19/11/20,Number of Active cases,443303,value in absolute number,
19/11/20,Total Recovered,8383602,value in absolute number,
19/11/20,Total Deaths,131578,value in absolute number,
18/11/20,Total Positive Cases,8912907,value in absolute number,
18/11/20,Number of Active cases,446805,value in absolute number,
18/11/20,Total Recovered,8335109,value in absolute number,
18/11/20,Total Deaths,130993,value in absolute number,
17/11/20,Total Positive Cases,8874290,value in absolute number,
17/11/20,Number of Active cases,453401,value in absolute number,
17/11/20,Total Recovered,8290370,value in absolute number,
17/11/20,Total Deaths,130519,value in absolute number,
16/11/20,Total Positive Cases,8845127,value in absolute number,
16/11/20,Number of Active cases,465478,value in absolute number,
16/11/20,Total Recovered,8249579,value in absolute number,
16/11/20,Total Deaths,130070,value in absolute number,
15/11/20,Total Positive Cases,8814579,value in absolute number,
15/11/20,Number of Active cases,479216,value in absolute number,
15/11/20,Total Recovered,8205728,value in absolute number,
15/11/20,Total Deaths,129635,value in absolute number,
14/11/20,Total Positive Cases,8773479,value in absolute number,
14/11/20,Number of Active cases,480719,value in absolute number,
14/11/20,Total Recovered,8163572,value in absolute number,
14/11/20,Total Deaths,129188,value in absolute number,
13/11/20,Total Positive Cases,8728795,value in absolute number,
13/11/20,Number of Active cases,484547,value in absolute number,
13/11/20,Total Recovered,8115580,value in absolute number,
13/11/20,Total Deaths,128668,value in absolute number,
12/11/20,Total Positive Cases,8683916,value in absolute number,
12/11/20,Number of Active cases,489294,value in absolute number,
12/11/20,Total Recovered,8066501,value in absolute number,
12/11/20,Total Deaths,128121,value in absolute number,
11/11/20,Total Positive Cases,8636011,value in absolute number,
11/11/20,Number of Active cases,494657,value in absolute number,
11/11/20,Total Recovered,8013783,value in absolute number,
11/11/20,Total Deaths,127571,value in absolute number,
10/11/20,Total Positive Cases,8591730,value in absolute number,
10/11/20,Number of Active cases,505265,value in absolute number,
10/11/20,Total Recovered,7959406,value in absolute number,
10/11/20,Total Deaths,127059,value in absolute number,
09/11/20,Total Positive Cases,8553657,value in absolute number,
09/11/20,Number of Active cases,509673,value in absolute number,
09/11/20,Total Recovered,7917373,value in absolute number,
09/11/20,Total Deaths,126611,value in absolute number,
08/11/20,Total Positive Cases,8507754,value in absolute number,
08/11/20,Number of Active cases,512665,value in absolute number,
08/11/20,Total Recovered,7868968,value in absolute number,
08/11/20,Total Deaths,126121,value in absolute number,
07/11/20,Total Positive Cases,8462080,value in absolute number,
07/11/20,Number of Active cases,516632,value in absolute number,
07/11/20,Total Recovered,7819886,value in absolute number,
07/11/20,Total Deaths,125562,value in absolute number,
06/11/20,Total Positive Cases,8411724,value in absolute number,
06/11/20,Number of Active cases,520773,value in absolute number,
06/11/20,Total Recovered,7765966,value in absolute number,
06/11/20,Total Deaths,124985,value in absolute number,
05/11/20,Total Positive Cases,8364086,value in absolute number,
05/11/20,Number of Active cases,527962,value in absolute number,
05/11/20,Total Recovered,7711809,value in absolute number,
05/11/20,Total Deaths,124315,value in absolute number,
04/11/20,Total Positive Cases,8313876,value in absolute number,
04/11/20,Number of Active cases,533787,value in absolute number,
04/11/20,Total Recovered,7656478,value in absolute number,
04/11/20,Total Deaths,123611,value in absolute number,
03/11/20,Total Positive Cases,8267623,value in absolute number,
03/11/20,Number of Active cases,541405,value in absolute number,
03/11/20,Total Recovered,7603121,value in absolute number,
03/11/20,Total Deaths,123097,value in absolute number,
02/11/20,Total Positive Cases,8229313,value in absolute number,
02/11/20,Number of Active cases,561908,value in absolute number,
02/11/20,Total Recovered,7544798,value in absolute number,
02/11/20,Total Deaths,122607,value in absolute number,
01/11/20,Total Positive Cases,8184082,value in absolute number,
01/11/20,Number of Active cases,570458,value in absolute number,
01/11/20,Total Recovered,7491513,value in absolute number,
01/11/20,Total Deaths,122111,value in absolute number,
31/10/20,Total Positive Cases,8137119,value in absolute number,
31/10/20,Number of Active cases,582649,value in absolute number,
31/10/20,Total Recovered,7432829,value in absolute number,
31/10/20,Total Deaths,121641,value in absolute number,
30/10/20,Total Positive Cases,8088851,value in absolute number,
30/10/20,Number of Active cases,594386,value in absolute number,
30/10/20,Total Recovered,7373375,value in absolute number,
30/10/20,Total Deaths,121090,value in absolute number,
29/10/20,Total Positive Cases,8040203,value in absolute number,
29/10/20,Number of Active cases,603687,value in absolute number,
29/10/20,Total Recovered,7315989,value in absolute number,
29/10/20,Total Deaths,120527,value in absolute number,
28/10/20,Total Positive Cases,7990322,value in absolute number,
28/10/20,Number of Active cases,610803,value in absolute number,
28/10/20,Total Recovered,7259509,value in absolute number,
28/10/20,Total Deaths,120010,value in absolute number,
27/10/20,Total Positive Cases,7946429,value in absolute number,
27/10/20,Number of Active cases,625857,value in absolute number,
27/10/20,Total Recovered,7201070,value in absolute number,
27/10/20,Total Deaths,119502,value in absolute number,
26/10/20,Total Positive Cases,7909959,value in absolute number,
26/10/20,Number of Active cases,653717,value in absolute number,
26/10/20,Total Recovered,7137228,value in absolute number,
26/10/20,Total Deaths,119014,value in absolute number,
25/10/20,Total Positive Cases,7864811,value in absolute number,
25/10/20,Number of Active cases,668154,value in absolute number,
25/10/20,Total Recovered,7078123,value in absolute number,
25/10/20,Total Deaths,118534,value in absolute number,
24/10/20,Total Positive Cases,7814682,value in absolute number,
24/10/20,Number of Active cases,680680,value in absolute number,
24/10/20,Total Recovered,7016046,value in absolute number,
24/10/20,Total Deaths,117956,value in absolute number,
23/10/20,Total Positive Cases,7761312,value in absolute number,
23/10/20,Number of Active cases,695509,value in absolute number,
23/10/20,Total Recovered,6948497,value in absolute number,
23/10/20,Total Deaths,117306,value in absolute number,
22/10/20,Total Positive Cases,7706946,value in absolute number,
22/10/20,Number of Active cases,715812,value in absolute number,
22/10/20,Total Recovered,6874518,value in absolute number,
22/10/20,Total Deaths,116616,value in absolute number,
21/10/20,Total Positive Cases,7651107,value in absolute number,
21/10/20,Number of Active cases,740090,value in absolute number,
21/10/20,Total Recovered,6795103,value in absolute number,
21/10/20,Total Deaths,115914,value in absolute number,
20/10/20,Total Positive Cases,7597063,value in absolute number,
20/10/20,Number of Active cases,748538,value in absolute number,
20/10/20,Total Recovered,6733328,value in absolute number,
20/10/20,Total Deaths,115197,value in absolute number,
19/10/20,Total Positive Cases,7550273,value in absolute number,
19/10/20,Number of Active cases,772055,value in absolute number,
19/10/20,Total Recovered,6663608,value in absolute number,
19/10/20,Total Deaths,114610,value in absolute number,
18/10/20,Total Positive Cases,7494551,value in absolute number,
18/10/20,Number of Active cases,783311,value in absolute number,
18/10/20,Total Recovered,6597209,value in absolute number,
18/10/20,Total Deaths,114031,value in absolute number,
17/10/20,Total Positive Cases,7432680,value in absolute number,
17/10/20,Number of Active cases,795087,value in absolute number,
17/10/20,Total Recovered,6524595,value in absolute number,
17/10/20,Total Deaths,112998,value in absolute number,
16/10/20,Total Positive Cases,7370468,value in absolute number,
16/10/20,Number of Active cases,804528,value in absolute number,
16/10/20,Total Recovered,6453779,value in absolute number,
16/10/20,Total Deaths,112161,value in absolute number,
15/10/20,Total Positive Cases,7307097,value in absolute number,
15/10/20,Number of Active cases,812390,value in absolute number,
15/10/20,Total Recovered,6383441,value in absolute number,
15/10/20,Total Deaths,111266,value in absolute number,
14/10/20,Total Positive Cases,7239389,value in absolute number,
14/10/20,Number of Active cases,826876,value in absolute number,
14/10/20,Total Recovered,6301927,value in absolute number,
14/10/20,Total Deaths,110586,value in absolute number,
13/10/20,Total Positive Cases,7175880,value in absolute number,
13/10/20,Number of Active cases,838729,value in absolute number,
13/10/20,Total Recovered,6227295,value in absolute number,
13/10/20,Total Deaths,109856,value in absolute number,
12/10/20,Total Positive Cases,7120538,value in absolute number,
12/10/20,Number of Active cases,861853,value in absolute number,
12/10/20,Total Recovered,6149535,value in absolute number,
12/10/20,Total Deaths,109150,value in absolute number,
11/10/20,Total Positive Cases,7053806,value in absolute number,
11/10/20,Number of Active cases,867496,value in absolute number,
11/10/20,Total Recovered,6077976,value in absolute number,
11/10/20,Total Deaths,108334,value in absolute number,
10/10/20,Total Positive Cases,6979423,value in absolute number,
10/10/20,Number of Active cases,883185,value in absolute number,
10/10/20,Total Recovered,5988822,value in absolute number,
10/10/20,Total Deaths,107416,value in absolute number,
09/10/20,Total Positive Cases,6906151,value in absolute number,
09/10/20,Number of Active cases,893592,value in absolute number,
09/10/20,Total Recovered,5906069,value in absolute number,
09/10/20,Total Deaths,106490,value in absolute number,
08/10/20,Total Positive Cases,6835655,value in absolute number,
08/10/20,Number of Active cases,902425,value in absolute number,
08/10/20,Total Recovered,5827704,value in absolute number,
08/10/20,Total Deaths,105526,value in absolute number,
07/10/20,Total Positive Cases,6757131,value in absolute number,
07/10/20,Number of Active cases,907883,value in absolute number,
07/10/20,Total Recovered,5744693,value in absolute number,
07/10/20,Total Deaths,104555,value in absolute number,
06/10/20,Total Positive Cases,6685082,value in absolute number,
06/10/20,Number of Active cases,919023,value in absolute number,
06/10/20,Total Recovered,5662490,value in absolute number,
06/10/20,Total Deaths,103569,value in absolute number,
05/10/20,Total Positive Cases,6623815,value in absolute number,
05/10/20,Number of Active cases,934427,value in absolute number,
05/10/20,Total Recovered,5586703,value in absolute number,
05/10/20,Total Deaths,102685,value in absolute number,
04/10/20,Total Positive Cases,6549373,value in absolute number,
04/10/20,Number of Active cases,937625,value in absolute number,
04/10/20,Total Recovered,5509966,value in absolute number,
04/10/20,Total Deaths,101782,value in absolute number,
03/10/20,Total Positive Cases,6473544,value in absolute number,
03/10/20,Number of Active cases,944996,value in absolute number,
03/10/20,Total Recovered,5427706,value in absolute number,
03/10/20,Total Deaths,100842,value in absolute number,
02/10/20,Total Positive Cases,6394068,value in absolute number,
02/10/20,Number of Active cases,942217,value in absolute number,
02/10/20,Total Recovered,5352078,value in absolute number,
02/10/20,Total Deaths,99773,value in absolute number,
01/10/20,Total Positive Cases,6312584,value in absolute number,
01/10/20,Number of Active cases,940705,value in absolute number,
01/10/20,Total Recovered,5273201,value in absolute number,
01/10/20,Total Deaths,98678,value in absolute number,
30/09/20,Total Positive Cases,6225763,value in absolute number,
30/09/20,Number of Active cases,940441,value in absolute number,
30/09/20,Total Recovered,5187825,value in absolute number,
30/09/20,Total Deaths,97497,value in absolute number,
29/09/20,Total Positive Cases,6145291,value in absolute number,
29/09/20,Number of Active cases,947576,value in absolute number,
29/09/20,Total Recovered,5101397,value in absolute number,
29/09/20,Total Deaths,96318,value in absolute number,
28/09/20,Total Positive Cases,6074702,value in absolute number,
28/09/20,Number of Active cases,962640,value in absolute number,
28/09/20,Total Recovered,5016520,value in absolute number,
28/09/20,Total Deaths,95542,value in absolute number,
27/09/20,Total Positive Cases,5992532,value in absolute number,
27/09/20,Number of Active cases,956402,value in absolute number,
27/09/20,Total Recovered,4941627,value in absolute number,
27/09/20,Total Deaths,94503,value in absolute number,
26/09/20,Total Positive Cases,5903932,value in absolute number,
26/09/20,Number of Active cases,960969,value in absolute number,
26/09/20,Total Recovered,4849584,value in absolute number,
26/09/20,Total Deaths,93379,value in absolute number,
25/09/20,Total Positive Cases,5818570,value in absolute number,
25/09/20,Number of Active cases,970116,value in absolute number,
25/09/20,Total Recovered,4756164,value in absolute number,
25/09/20,Total Deaths,92290,value in absolute number,
24/09/20,Total Positive Cases,5732518,value in absolute number,
24/09/20,Number of Active cases,966382,value in absolute number,
24/09/20,Total Recovered,4674987,value in absolute number,
24/09/20,Total Deaths,91149,value in absolute number,
23/09/20,Total Positive Cases,5646010,value in absolute number,
23/09/20,Number of Active cases,968377,value in absolute number,
23/09/20,Total Recovered,4587613,value in absolute number,
23/09/20,Total Deaths,90020,value in absolute number,
22/09/20,Total Positive Cases,5562663,value in absolute number,
22/09/20,Number of Active cases,975861,value in absolute number,
22/09/20,Total Recovered,4497867,value in absolute number,
22/09/20,Total Deaths,88935,value in absolute number,
21/09/20,Total Positive Cases,5487580,value in absolute number,
21/09/20,Number of Active cases,1003299,value in absolute number,
21/09/20,Total Recovered,4396399,value in absolute number,
21/09/20,Total Deaths,87882,value in absolute number,
20/09/20,Total Positive Cases,5400619,value in absolute number,
20/09/20,Number of Active cases,1010824,value in absolute number,
20/09/20,Total Recovered,4303043,value in absolute number,
20/09/20,Total Deaths,86752,value in absolute number,
19/09/20,Total Positive Cases,5308014,value in absolute number,
19/09/20,Number of Active cases,1013964,value in absolute number,
19/09/20,Total Recovered,4208431,value in absolute number,
19/09/20,Total Deaths,85619,value in absolute number,
18/09/20,Total Positive Cases,5214677,value in absolute number,
18/09/20,Number of Active cases,1017754,value in absolute number,
18/09/20,Total Recovered,4112551,value in absolute number,
18/09/20,Total Deaths,84372,value in absolute number,
17/09/20,Total Positive Cases,5118253,value in absolute number,
17/09/20,Number of Active cases,1009976,value in absolute number,
17/09/20,Total Recovered,4025079,value in absolute number,
17/09/20,Total Deaths,83198,value in absolute number,
16/09/20,Total Positive Cases,5020359,value in absolute number,
16/09/20,Number of Active cases,995933,value in absolute number,
16/09/20,Total Recovered,3942360,value in absolute number,
16/09/20,Total Deaths,82066,value in absolute number,
15/09/20,Total Positive Cases,4930236,value in absolute number,
15/09/20,Number of Active cases,990061,value in absolute number,
15/09/20,Total Recovered,3859399,value in absolute number,
15/09/20,Total Deaths,80776,value in absolute number,
14/09/20,Total Positive Cases,4846427,value in absolute number,
14/09/20,Number of Active cases,986598,value in absolute number,
14/09/20,Total Recovered,3780107,value in absolute number,
14/09/20,Total Deaths,79722,value in absolute number,
13/09/20,Total Positive Cases,4754356,value in absolute number,
13/09/20,Number of Active cases,973175,value in absolute number,
13/09/20,Total Recovered,3702595,value in absolute number,
13/09/20,Total Deaths,78586,value in absolute number,
12/09/20,Total Positive Cases,4659984,value in absolute number,
12/09/20,Number of Active cases,958316,value in absolute number,
12/09/20,Total Recovered,3624196,value in absolute number,
12/09/20,Total Deaths,77472,value in absolute number,
11/09/20,Total Positive Cases,4562414,value in absolute number,
11/09/20,Number of Active cases,943480,value in absolute number,
11/09/20,Total Recovered,3542663,value in absolute number,
11/09/20,Total Deaths,76271,value in absolute number,
10/09/20,Total Positive Cases,4465863,value in absolute number,
10/09/20,Number of Active cases,919018,value in absolute number,
10/09/20,Total Recovered,3471783,value in absolute number,
10/09/20,Total Deaths,75062,value in absolute number,
09/09/20,Total Positive Cases,4370128,value in absolute number,
09/09/20,Number of Active cases,897394,value in absolute number,
09/09/20,Total Recovered,3398844,value in absolute number,
09/09/20,Total Deaths,73890,value in absolute number,
08/09/20,Total Positive Cases,4280422,value in absolute number,
08/09/20,Number of Active cases,883697,value in absolute number,
08/09/20,Total Recovered,3323950,value in absolute number,
08/09/20,Total Deaths,72775,value in absolute number,
07/09/20,Total Positive Cases,4204613,value in absolute number,
07/09/20,Number of Active cases,882542,value in absolute number,
07/09/20,Total Recovered,3250429,value in absolute number,
07/09/20,Total Deaths,71642,value in absolute number,
06/09/20,Total Positive Cases,4113811,value in absolute number,
06/09/20,Number of Active cases,862320,value in absolute number,
06/09/20,Total Recovered,3180865,value in absolute number,
06/09/20,Total Deaths,70626,value in absolute number,
05/09/20,Total Positive Cases,4023179,value in absolute number,
05/09/20,Number of Active cases,846395,value in absolute number,
05/09/20,Total Recovered,3107223,value in absolute number,
05/09/20,Total Deaths,69561,value in absolute number,
04/09/20,Total Positive Cases,3936747,value in absolute number,
04/09/20,Number of Active cases,831124,value in absolute number,
04/09/20,Total Recovered,3037151,value in absolute number,
04/09/20,Total Deaths,68472,value in absolute number,
03/09/20,Total Positive Cases,3853406,value in absolute number,
03/09/20,Number of Active cases,815538,value in absolute number,
03/09/20,Total Recovered,2970492,value in absolute number,
03/09/20,Total Deaths,67376,value in absolute number,
02/09/20,Total Positive Cases,3769523,value in absolute number,
02/09/20,Number of Active cases,801282,value in absolute number,
02/09/20,Total Recovered,2901908,value in absolute number,
02/09/20,Total Deaths,66333,value in absolute number,
01/09/20,Total Positive Cases,3691166,value in absolute number,
01/09/20,Number of Active cases,785996,value in absolute number,
01/09/20,Total Recovered,2839882,value in absolute number,
01/09/20,Total Deaths,65288,value in absolute number,
31/08/20,Total Positive Cases,3621245,value in absolute number,
31/08/20,Number of Active cases,781975,value in absolute number,
31/08/20,Total Recovered,2774801,value in absolute number,
31/08/20,Total Deaths,64469,value in absolute number,
30/08/20,Total Positive Cases,3542733,value in absolute number,
30/08/20,Number of Active cases,765302,value in absolute number,
30/08/20,Total Recovered,2713933,value in absolute number,
30/08/20,Total Deaths,63498,value in absolute number,
29/08/20,Total Positive Cases,3463972,value in absolute number,
29/08/20,Number of Active cases,752424,value in absolute number,
29/08/20,Total Recovered,2648998,value in absolute number,
29/08/20,Total Deaths,62550,value in absolute number,
28/08/20,Total Positive Cases,3387500,value in absolute number,
28/08/20,Number of Active cases,742023,value in absolute number,
28/08/20,Total Recovered,2583948,value in absolute number,
28/08/20,Total Deaths,61529,value in absolute number,
27/08/20,Total Positive Cases,3310234,value in absolute number,
27/08/20,Number of Active cases,725991,value in absolute number,
27/08/20,Total Recovered,2523771,value in absolute number,
27/08/20,Total Deaths,60472,value in absolute number,
26/08/20,Total Positive Cases,3234474,value in absolute number,
26/08/20,Number of Active cases,707267,value in absolute number,
26/08/20,Total Recovered,2467758,value in absolute number,
26/08/20,Total Deaths,59449,value in absolute number,
25/08/20,Total Positive Cases,3167323,value in absolute number,
25/08/20,Number of Active cases,704348,value in absolute number,
25/08/20,Total Recovered,2404585,value in absolute number,
25/08/20,Total Deaths,58390,value in absolute number,
24/08/20,Total Positive Cases,3106348,value in absolute number,
24/08/20,Number of Active cases,710771,value in absolute number,
24/08/20,Total Recovered,2338035,value in absolute number,
24/08/20,Total Deaths,57542,value in absolute number,
23/08/20,Total Positive Cases,3044940,value in absolute number,
23/08/20,Number of Active cases,707668,value in absolute number,
23/08/20,Total Recovered,2280566,value in absolute number,
23/08/20,Total Deaths,56706,value in absolute number,
22/08/20,Total Positive Cases,2975701,value in absolute number,
22/08/20,Number of Active cases,697330,value in absolute number,
22/08/20,Total Recovered,2222577,value in absolute number,
22/08/20,Total Deaths,55794,value in absolute number,
21/08/20,Total Positive Cases,2905823,value in absolute number,
21/08/20,Number of Active cases,692028,value in absolute number,
21/08/20,Total Recovered,2158946,value in absolute number,
21/08/20,Total Deaths,54849,value in absolute number,
20/08/20,Total Positive Cases,2836925,value in absolute number,
20/08/20,Number of Active cases,686395,value in absolute number,
20/08/20,Total Recovered,2096664,value in absolute number,
20/08/20,Total Deaths,53866,value in absolute number,
19/08/20,Total Positive Cases,2767273,value in absolute number,
19/08/20,Number of Active cases,676514,value in absolute number,
