date,category,value,units,notes
14/09/23,Total Recovered,44465415,value in absolute number,
14/09/23,Total Deaths,532029,value in absolute number,
13/09/23,Total Positive Cases,44997917,value in absolute number,
13/09/23,Number of Active cases,537,value in absolute number,
13/09/23,Total Recovered,44465352,value in absolute number,
13/09/23,Total Deaths,532028,value in absolute number,
12/09/23,Total Positive Cases,44997820,value in absolute number,
12/09/23,Number of Active cases,505,value in absolute number,
12/09/23,Total Recovered,44465288,value in absolute number,
12/09/23,Total Deaths,532027,value in absolute number,
11/09/23,Total Positive Cases,44997780,value in absolute number,
11/09/23,Number of Active cases,507,value in absolute number,
11/09/23,Total Recovered,44465246,value in absolute number,
11/09/23,Total Deaths,532027,value in absolute number,
10/09/23,Total Positive Cases,44997710,value in absolute number,
10/09/23,Number of Active cases,489,value in absolute number,
10/09/23,Total Recovered,44465194,value in absolute number,
10/09/23,Total Deaths,532027,value in absolute number,
09/09/23,Total Positive Cases,44997642,value in absolute number,
09/09/23,Number of Active cases,479,value in absolute number,
09/09/23,Total Recovered,44465138,value in absolute number,
09/09/23,Total Deaths,532025,value in absolute number,
08/09/23,Total Positive Cases,44997583,value in absolute number,
08/09/23,Number of Active cases,485,value in absolute number,
08/09/23,Total Recovered,44465074,value in absolute number,
08/09/23,Total Deaths,532024,value in absolute number,
07/09/23,Total Positive Cases,44997537,value in absolute number,
07/09/23,Number of Active cases,494,value in absolute number,
07/09/23,Total Recovered,44465019,value in absolute number,
07/09/23,Total Deaths,532024,value in absolute number,
06/09/23,Total Positive Cases,44997466,value in absolute number,
06/09/23,Number of Active cases,491,value in absolute number,
06/09/23,Total Recovered,44464951,value in absolute number,
06/09/23,Total Deaths,532024,value in absolute number,
05/09/23,Total Positive Cases,44997400,value in absolute number,
05/09/23,Number of Active cases,494,value in absolute number,
05/09/23,Total Recovered,44464883,value in absolute number,
05/09/23,Total Deaths,532023,value in absolute number,
04/09/23,Total Positive Cases,44997372,value in absolute number,
04/09/23,Number of Active cases,491,value in absolute number,
04/09/23,Total Recovered,44464858,value in absolute number,
04/09/23,Total Deaths,532023,value in absolute number,
03/09/23,Total Positive Cases,44997326,value in absolute number,
03/09/23,Number of Active cases,510,value in absolute number,
03/09/23,Total Recovered,44464793,value in absolute number,
03/09/23,Total Deaths,532023,value in absolute number,
02/09/23,Total Positive Cases,44997266,value in absolute number,
02/09/23,Number of Active cases,492,value in absolute number,
02/09/23,Total Recovered,44464751,value in absolute number,
02/09/23,Total Deaths,532023,value in absolute number,
01/09/23,Total Positive Cases,44997216,value in absolute number,
01/09/23,Number of Active cases,1498,value in absolute number,
01/09/23,Total Recovered,44463788,value in absolute number,
01/09/23,Total Deaths,531930,value in absolute number,
31/08/23,Total Positive Cases,44997167,value in absolute number,
31/08/23,Number of Active cases,1520,value in absolute number,
31/08/23,Total Recovered,44463717,value in absolute number,
31/08/23,Total Deaths,531930,value in absolute number,
30/08/23,Total Positive Cases,44997117,value in absolute number,
30/08/23,Number of Active cases,1522,value in absolute number,
30/08/23,Total Recovered,44463666,value in absolute number,
30/08/23,Total Deaths,531929,value in absolute number,
29/08/23,Total Positive Cases,44997056,value in absolute number,
29/08/23,Number of Active cases,1509,value in absolute number,
29/08/23,Total Recovered,44463618,value in absolute number,
29/08/23,Total Deaths,531929,value in absolute number,
28/08/23,Total Positive Cases,44997033,value in absolute number,
28/08/23,Number of Active cases,1524,value in absolute number,
28/08/23,Total Recovered,44463580,value in absolute number,
28/08/23,Total Deaths,531929,value in absolute number,
27/08/23,Total Positive Cases,44996963,value in absolute number,
27/08/23,Number of Active cases,1502,value in absolute number,
27/08/23,Total Recovered,44463533,value in absolute number,
27/08/23,Total Deaths,531928,value in absolute number,
26/08/23,Total Positive Cases,44996919,value in absolute number,
26/08/23,Number of Active cases,1503,value in absolute number,
26/08/23,Total Recovered,44463488,value in absolute number,
26/08/23,Total Deaths,531928,value in absolute number,
25/08/23,Total Positive Cases,44996859,value in absolute number,
25/08/23,Number of Active cases,1508,value in absolute number,
25/08/23,Total Recovered,44463424,value in absolute number,
25/08/23,Total Deaths,531927,value in absolute number,
24/08/23,Total Positive Cases,44996786,value in absolute number,
24/08/23,Number of Active cases,1484,value in absolute number,
24/08/23,Total Recovered,44463376,value in absolute number,
24/08/23,Total Deaths,531926,value in absolute number,
23/08/23,Total Positive Cases,44996732,value in absolute number,
23/08/23,Number of Active cases,1475,value in absolute number,
23/08/23,Total Recovered,44463331,value in absolute number,
23/08/23,Total Deaths,531926,value in absolute number,
22/08/23,Total Positive Cases,44996676,value in absolute number,
22/08/23,Number of Active cases,1470,value in absolute number,
22/08/23,Total Recovered,44463280,value in absolute number,
22/08/23,Total Deaths,531926,value in absolute number,
21/08/23,Total Positive Cases,44996653,value in absolute number,
21/08/23,Number of Active cases,1475,value in absolute number,
21/08/23,Total Recovered,44463252,value in absolute number,
21/08/23,Total Deaths,531926,value in absolute number,
20/08/23,Total Positive Cases,44996599,value in absolute number,
20/08/23,Number of Active cases,1468,value in absolute number,
20/08/23,Total Recovered,44463206,value in absolute number,
20/08/23,Total Deaths,531925,value in absolute number,
19/08/23,Total Positive Cases,44996548,value in absolute number,
19/08/23,Number of Active cases,1452,value in absolute number,
19/08/23,Total Recovered,44463171,value in absolute number,
19/08/23,Total Deaths,531925,value in absolute number,
18/08/23,Total Positive Cases,44996476,value in absolute number,
18/08/23,Number of Active cases,1441,value in absolute number,
18/08/23,Total Recovered,44463111,value in absolute number,
18/08/23,Total Deaths,531924,value in absolute number,
17/08/23,Total Positive Cases,44996426,value in absolute number,
17/08/23,Number of Active cases,1436,value in absolute number,
17/08/23,Total Recovered,44463066,value in absolute number,
17/08/23,Total Deaths,531924,value in absolute number,
16/08/23,Total Positive Cases,44996393,value in absolute number,
16/08/23,Number of Active cases,1450,value in absolute number,
16/08/23,Total Recovered,44463021,value in absolute number,
16/08/23,Total Deaths,531922,value in absolute number,
15/08/23,Total Positive Cases,44996335,value in absolute number,
15/08/23,Number of Active cases,1452,value in absolute number,
15/08/23,Total Recovered,44462961,value in absolute number,
15/08/23,Total Deaths,531922,value in absolute number,
14/08/23,Total Positive Cases,44996313,value in absolute number,
14/08/23,Number of Active cases,1472,value in absolute number,
14/08/23,Total Recovered,44462920,value in absolute number,
14/08/23,Total Deaths,531921,value in absolute number,
13/08/23,Total Positive Cases,44996274,value in absolute number,
13/08/23,Number of Active cases,1470,value in absolute number,
13/08/23,Total Recovered,44462883,value in absolute number,
13/08/23,Total Deaths,531921,value in absolute number,
12/08/23,Total Positive Cases,44996236,value in absolute number,
12/08/23,Number of Active cases,1487,value in absolute number,
12/08/23,Total Recovered,44462829,value in absolute number,
12/08/23,Total Deaths,531920,value in absolute number,
11/08/23,Total Positive Cases,44996198,value in absolute number,
11/08/23,Number of Active cases,1505,value in absolute number,
11/08/23,Total Recovered,44462773,value in absolute number,
11/08/23,Total Deaths,531920,value in absolute number,
10/08/23,Total Positive Cases,44996151,value in absolute number,
10/08/23,Number of Active cases,1505,value in absolute number,
10/08/23,Total Recovered,44462726,value in absolute number,
10/08/23,Total Deaths,531920,value in absolute number,
09/08/23,Total Positive Cases,44996112,value in absolute number,
09/08/23,Number of Active cases,1539,value in absolute number,
09/08/23,Total Recovered,44462655,value in absolute number,
09/08/23,Total Deaths,531918,value in absolute number,
08/08/23,Total Positive Cases,44996059,value in absolute number,
08/08/23,Number of Active cases,1543,value in absolute number,
08/08/23,Total Recovered,44462598,value in absolute number,
08/08/23,Total Deaths,531918,value in absolute number,
07/08/23,Total Positive Cases,44996034,value in absolute number,
07/08/23,Number of Active cases,1574,value in absolute number,
07/08/23,Total Recovered,44462542,value in absolute number,
07/08/23,Total Deaths,531918,value in absolute number,
06/08/23,Total Positive Cases,44995980,value in absolute number,
06/08/23,Number of Active cases,1552,value in absolute number,
06/08/23,Total Recovered,44462510,value in absolute number,
06/08/23,Total Deaths,531918,value in absolute number,
05/08/23,Total Positive Cases,44995933,value in absolute number,
05/08/23,Number of Active cases,1553,value in absolute number,
05/08/23,Total Recovered,44462462,value in absolute number,
05/08/23,Total Deaths,531918,value in absolute number,
04/08/23,Total Positive Cases,44995856,value in absolute number,
04/08/23,Number of Active cases,1532,value in absolute number,
04/08/23,Total Recovered,44462406,value in absolute number,
04/08/23,Total Deaths,531918,value in absolute number,
03/08/23,Total Positive Cases,44995802,value in absolute number,
03/08/23,Number of Active cases,1533,value in absolute number,
03/08/23,Total Recovered,44462351,value in absolute number,
03/08/23,Total Deaths,531918,value in absolute number,
02/08/23,Total Positive Cases,44995725,value in absolute number,
02/08/23,Number of Active cases,1482,value in absolute number,
02/08/23,Total Recovered,44462326,value in absolute number,
02/08/23,Total Deaths,531917,value in absolute number,
01/08/23,Total Positive Cases,44995665,value in absolute number,
01/08/23,Number of Active cases,1474,value in absolute number,
01/08/23,Total Recovered,44462274,value in absolute number,
01/08/23,Total Deaths,531917,value in absolute number,
31/07/23,Total Positive Cases,44995629,value in absolute number,
31/07/23,Number of Active cases,1467,value in absolute number,
31/07/23,Total Recovered,44462245,value in absolute number,
31/07/23,Total Deaths,531917,value in absolute number,
30/07/23,Total Positive Cases,44995588,value in absolute number,
30/07/23,Number of Active cases,1464,value in absolute number,
30/07/23,Total Recovered,44462208,value in absolute number,
30/07/23,Total Deaths,531916,value in absolute number,
29/07/23,Total Positive Cases,44995536,value in absolute number,
29/07/23,Number of Active cases,1456,value in absolute number,
29/07/23,Total Recovered,44462165,value in absolute number,
29/07/23,Total Deaths,531915,value in absolute number,
28/07/23,Total Positive Cases,44995486,value in absolute number,
28/07/23,Number of Active cases,1455,value in absolute number,
28/07/23,Total Recovered,44462116,value in absolute number,
28/07/23,Total Deaths,531915,value in absolute number,
27/07/23,Total Positive Cases,44995434,value in absolute number,
27/07/23,Number of Active cases,1452,value in absolute number,
27/07/23,Total Recovered,44462067,value in absolute number,
27/07/23,Total Deaths,531915,value in absolute number,
26/07/23,Total Positive Cases,44995392,value in absolute number,
26/07/23,Number of Active cases,1469,value in absolute number,
26/07/23,Total Recovered,44462008,value in absolute number,
26/07/23,Total Deaths,531915,value in absolute number,
25/07/23,Total Positive Cases,44995332,value in absolute number,
25/07/23,Number of Active cases,1449,value in absolute number,
25/07/23,Total Recovered,44461968,value in absolute number,
25/07/23,Total Deaths,531915,value in absolute number,
24/07/23,Total Positive Cases,44995311,value in absolute number,
24/07/23,Number of Active cases,1464,value in absolute number,
24/07/23,Total Recovered,44461932,value in absolute number,
24/07/23,Total Deaths,531915,value in absolute number,
23/07/23,Total Positive Cases,44995264,value in absolute number,
23/07/23,Number of Active cases,1463,value in absolute number,
23/07/23,Total Recovered,44461886,value in absolute number,
23/07/23,Total Deaths,531915,value in absolute number,
22/07/23,Total Positive Cases,44995224,value in absolute number,
22/07/23,Number of Active cases,1479,value in absolute number,
22/07/23,Total Recovered,44461830,value in absolute number,
22/07/23,Total Deaths,531915,value in absolute number,
21/07/23,Total Positive Cases,44995164,value in absolute number,
21/07/23,Number of Active cases,1460,value in absolute number,
21/07/23,Total Recovered,44461789,value in absolute number,
21/07/23,Total Deaths,531915,value in absolute number,
20/07/23,Total Positive Cases,44995055,value in absolute number,
20/07/23,Number of Active cases,1476,value in absolute number,
20/07/23,Total Recovered,44461664,value in absolute number,
20/07/23,Total Deaths,531915,value in absolute number,
19/07/23,Total Positive Cases,44995004,value in absolute number,
19/07/23,Number of Active cases,1464,value in absolute number,
19/07/23,Total Recovered,44461625,value in absolute number,
19/07/23,Total Deaths,531915,value in absolute number,
18/07/23,Total Positive Cases,44994955,value in absolute number,
18/07/23,Number of Active cases,1453,value in absolute number,
18/07/23,Total Recovered,44461587,value in absolute number,
18/07/23,Total Deaths,531915,value in absolute number,
17/07/23,Total Positive Cases,44994921,value in absolute number,
17/07/23,Number of Active cases,1441,value in absolute number,
17/07/23,Total Recovered,44461565,value in absolute number,
17/07/23,Total Deaths,531915,value in absolute number,
16/07/23,Total Positive Cases,44994878,value in absolute number,
16/07/23,Number of Active cases,1432,value in absolute number,
16/07/23,Total Recovered,44461531,value in absolute number,
16/07/23,Total Deaths,531915,value in absolute number,
15/07/23,Total Positive Cases,44994819,value in absolute number,
15/07/23,Number of Active cases,1408,value in absolute number,
15/07/23,Total Recovered,44461497,value in absolute number,
15/07/23,Total Deaths,531914,value in absolute number,
14/07/23,Total Positive Cases,44994765,value in absolute number,
14/07/23,Number of Active cases,1396,value in absolute number,
14/07/23,Total Recovered,44461455,value in absolute number,
14/07/23,Total Deaths,531914,value in absolute number,
13/07/23,Total Positive Cases,44994713,value in absolute number,
13/07/23,Number of Active cases,1407,value in absolute number,
13/07/23,Total Recovered,44461393,value in absolute number,
13/07/23,Total Deaths,531913,value in absolute number,
12/07/23,Total Positive Cases,44994665,value in absolute number,
12/07/23,Number of Active cases,1413,value in absolute number,
12/07/23,Total Recovered,44461339,value in absolute number,
12/07/23,Total Deaths,531913,value in absolute number,
11/07/23,Total Positive Cases,44994619,value in absolute number,
11/07/23,Number of Active cases,1420,value in absolute number,
11/07/23,Total Recovered,44461286,value in absolute number,
11/07/23,Total Deaths,531913,value in absolute number,
10/07/23,Total Positive Cases,44994599,value in absolute number,
10/07/23,Number of Active cases,1431,value in absolute number,
10/07/23,Total Recovered,44461255,value in absolute number,
10/07/23,Total Deaths,531913,value in absolute number,
09/07/23,Total Positive Cases,44994575,value in absolute number,
09/07/23,Number of Active cases,1454,value in absolute number,
09/07/23,Total Recovered,44461208,value in absolute number,
09/07/23,Total Deaths,531913,value in absolute number,
08/07/23,Total Positive Cases,44994543,value in absolute number,
08/07/23,Number of Active cases,1463,value in absolute number,
08/07/23,Total Recovered,44461168,value in absolute number,
08/07/23,Total Deaths,531912,value in absolute number,
07/07/23,Total Positive Cases,44994494,value in absolute number,
07/07/23,Number of Active cases,1455,value in absolute number,
07/07/23,Total Recovered,44461127,value in absolute number,
07/07/23,Total Deaths,531912,value in absolute number,
06/07/23,Total Positive Cases,44994449,value in absolute number,
06/07/23,Number of Active cases,1452,value in absolute number,
06/07/23,Total Recovered,44461087,value in absolute number,
06/07/23,Total Deaths,531910,value in absolute number,
05/07/23,Total Positive Cases,44994407,value in absolute number,
05/07/23,Number of Active cases,1453,value in absolute number,
05/07/23,Total Recovered,44461044,value in absolute number,
05/07/23,Total Deaths,531910,value in absolute number,
04/07/23,Total Positive Cases,44994351,value in absolute number,
04/07/23,Number of Active cases,1468,value in absolute number,
04/07/23,Total Recovered,44460975,value in absolute number,
04/07/23,Total Deaths,531908,value in absolute number,
03/07/23,Total Positive Cases,44994325,value in absolute number,
03/07/23,Number of Active cases,1475,value in absolute number,
03/07/23,Total Recovered,44460942,value in absolute number,
03/07/23,Total Deaths,531908,value in absolute number,
02/07/23,Total Positive Cases,44994281,value in absolute number,
02/07/23,Number of Active cases,1490,value in absolute number,
02/07/23,Total Recovered,44460884,value in absolute number,
02/07/23,Total Deaths,531907,value in absolute number,
01/07/23,Total Positive Cases,44994228,value in absolute number,
01/07/23,Number of Active cases,1513,value in absolute number,
01/07/23,Total Recovered,44460809,value in absolute number,
