year,month,country,category,value_rupee,value_usd,currency,unit,note
2023,August,France,Trade Balance,422437.86,510.26,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Germany,Export,686959.68,829.72,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Germany,Import,1193037.41,1440.92,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Germany,Trade Balance,-506077.73,-611.2,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Hong Kong,Export,435502.75,526.04,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Hong Kong,Import,1880579.73,2271.52,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Hong Kong,Trade Balance,-1445076.98,-1745.48,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Indonesia,Export,418171.38,504.98,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Indonesia,Import,1723070.73,2081.32,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Indonesia,Trade Balance,-1304899.35,-1576.34,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Iraq,Export,245724.41,296.77,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Iraq,Import,2022339.13,2442.87,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Iraq,Trade Balance,-1776614.72,-2146.1,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Italy,Export,546081.51,659.49,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Italy,Import,458203.48,553.35,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Italy,Trade Balance,87878.03,106.14,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Japan,Export,335253.53,404.9,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Japan,Import,1233771.22,1490.2,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Japan,Trade Balance,-898517.69,-1085.3,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Kuwait,Export,120813.59,145.82,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Kuwait,Import,544049.12,657.17,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Kuwait,Trade Balance,-423235.53,-511.35,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
