fiscal_year,year,month,phase,sale_period,state,city,election,transaction_type,bond_type,total_bonds,value_of_bonds,units,note
2023-24,2023,July,27,3rd July to 12th July 2023,Karnataka,Bengaluru,No Elections,Sold/ Purchased,One Crore Bond,12,120000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,July,27,3rd July to 12th July 2023,Madhya Pradesh,Bhopal,No Elections,Sold/ Purchased,One Crore Bond,2,20000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,July,27,3rd July to 12th July 2023,Chandigarh,Chandigarh,No Elections,Sold/ Purchased,One Crore Bond,4,40000000,"total_bonds in absolute number, value_of_bonds in indian rupees",state: Data for Chandigarh is for the states of Punjab & Haryana
2023-24,2023,July,27,3rd July to 12th July 2023,Tamil Nadu,Chennai,No Elections,Sold/ Purchased,One Crore Bond,70,700000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,July,27,3rd July to 12th July 2023,Gujarat,Gandhinagar,No Elections,Sold/ Purchased,One Crore Bond,44,440000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,July,27,3rd July to 12th July 2023,Telangana,Hyderabad,No Elections,Sold/ Purchased,One Crore Bond,254,2540000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,July,27,3rd July to 12th July 2023,West Bengal,Kolkata,No Elections,Sold/ Purchased,One Crore Bond,127,1270000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,July,27,3rd July to 12th July 2023,Maharashtra,Mumbai,No Elections,Sold/ Purchased,One Crore Bond,134,1340000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,July,27,3rd July to 12th July 2023,Delhi,New Delhi,No Elections,Sold/ Purchased,One Crore Bond,109,1090000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,July,27,3rd July to 12th July 2023,Kerala,Thiruvananthapuram,No Elections,Sold/ Purchased,One Crore Bond,15,150000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
