fiscal_year,country,category,value_rupee,value_usd,currency,unit,note
2023-24,Brunei,Import,1153.5,1.39,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Brunei,Trade Balance,23526.84,28.5,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Bulgaria,Export,73502.03,89.19,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Bulgaria,Import,51609.55,62.63,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Bulgaria,Trade Balance,21892.48,26.56,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Burkina Faso,Export,41120.21,49.91,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Burkina Faso,Import,47657.56,57.92,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Burkina Faso,Trade Balance,-6537.35,-8.01,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Burundi,Export,9905.12,11.9,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Burundi,Import,0,0,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Burundi,Trade Balance,9905.12,11.9,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Cambodia,Export,68446.46,83.07,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Cambodia,Import,63241.07,76.77,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Cambodia,Trade Balance,5205.39,6.3,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Cameroon,Export,146260.33,177.48,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Cameroon,Import,155301.92,188.69,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Cameroon,Trade Balance,-9041.59,-11.21,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Canada,Export,1293996.11,1571.44,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Canada,Import,1412571.33,1715.21,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Canada,Trade Balance,-118575.22,-143.77,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Cape Verde,Export,1410.6,1.72,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Cape Verde,Import,1461.09,1.75,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Cape Verde,Trade Balance,-50.49,-0.03,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Cayman Islands,Export,1878.85,2.18,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Cayman Islands,Import,0.01,0,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Cayman Islands,Trade Balance,1878.84,2.18,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Central African Republic,Export,49806.75,60.15,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Central African Republic,Import,78.74,0.08,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Central African Republic,Trade Balance,49728.01,60.07,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Chad,Export,18595.27,22.51,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Chad,Import,878.94,1.05,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Chad,Trade Balance,17716.33,21.46,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Chile,Export,394465.09,478.88,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023-24,Chile,Import,576634.91,700,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
